거래번호,계산액,수신액,기대판정,실제판정
TX001001,10878,10978,불일치,불일치
TX001002,10976,10976,일치,일치
TX001003,11074,11074,일치,일치
TX001004,11172,11172,일치,일치
TX001005,11270,11270,일치,일치
TX001006,11368,11368,일치,일치
TX001007,11466,11466,일치,일치
TX001008,11564,11564,일치,일치
TX001009,11662,11662,일치,일치
TX001010,11760,11760,일치,일치
TX001011,11858,11858,일치,일치
TX001012,11956,11956,일치,일치
TX001013,12054,12054,일치,일치
TX001014,12152,12152,일치,일치
TX001015,12250,12250,일치,일치
TX001016,12348,12348,일치,일치
TX001017,12446,12446,일치,일치
TX001018,12544,12544,일치,일치
TX001019,12642,12642,일치,일치
TX001020,0,0,일치,일치
TX002001,11858,11958,불일치,불일치
TX002002,11956,11956,일치,일치
TX002003,12054,12054,일치,일치
TX002004,12152,12152,일치,일치
TX002005,12250,12250,일치,일치
TX002006,12348,12348,일치,일치
TX002007,12446,12446,일치,일치
TX002008,12544,12544,일치,일치
TX002009,12642,12642,일치,일치
TX002010,12740,12740,일치,일치
TX002011,12838,12838,일치,일치
TX002012,12936,12936,일치,일치
TX002013,13034,13034,일치,일치
TX002014,13132,13132,일치,일치
TX002015,13230,13230,일치,일치
TX002016,13328,13328,일치,일치
TX002017,13426,13426,일치,일치
TX002018,13524,13524,일치,일치
TX002019,13622,13622,일치,일치
TX002020,0,0,일치,일치
TX003001,12838,12938,불일치,불일치
TX003002,12936,12936,일치,일치
TX003003,13034,13034,일치,일치
TX003004,13132,13132,일치,일치
TX003005,13230,13230,일치,일치
TX003006,13328,13328,일치,일치
TX003007,13426,13426,일치,일치
TX003008,13524,13524,일치,일치
TX003009,13622,13622,일치,일치
TX003010,13720,13720,일치,일치
TX003011,13818,13818,일치,일치
TX003012,13916,13916,일치,일치
TX003013,14014,14014,일치,일치
TX003014,14112,14112,일치,일치
TX003015,14210,14210,일치,일치
TX003016,14308,14308,일치,일치
TX003017,14406,14406,일치,일치
TX003018,14504,14504,일치,일치
TX003019,14602,14602,일치,일치
TX003020,0,0,일치,일치
TX004001,13818,13918,불일치,불일치
TX004002,13916,13916,일치,일치
TX004003,14014,14014,일치,일치
TX004004,14112,14112,일치,일치
TX004005,14210,14210,일치,일치
TX004006,14308,14308,일치,일치
TX004007,14406,14406,일치,일치
TX004008,14504,14504,일치,일치
TX004009,14602,14602,일치,일치
TX004010,14700,14700,일치,일치
TX004011,14798,14798,일치,일치
TX004012,14896,14896,일치,일치
TX004013,14994,14994,일치,일치
TX004014,15092,15092,일치,일치
TX004015,15190,15190,일치,일치
TX004016,15288,15288,일치,일치
TX004017,15386,15386,일치,일치
TX004018,15484,15484,일치,일치
TX004019,15582,15582,일치,일치
TX004020,0,0,일치,일치
TX005001,14798,14898,불일치,불일치
TX005002,14896,14896,일치,일치
TX005003,14994,14994,일치,일치
TX005004,15092,15092,일치,일치
TX005005,15190,15190,일치,일치
TX005006,15288,15288,일치,일치
TX005007,15386,15386,일치,일치
TX005008,15484,15484,일치,일치
TX005009,15582,15582,일치,일치
TX005010,15680,15680,일치,일치
TX005011,15778,15778,일치,일치
TX005012,15876,15876,일치,일치
TX005013,15974,15974,일치,일치
TX005014,16072,16072,일치,일치
TX005015,16170,16170,일치,일치
TX005016,16268,16268,일치,일치
TX005017,16366,16366,일치,일치
TX005018,16464,16464,일치,일치
TX005019,16562,16562,일치,일치
TX005020,0,0,일치,일치
TX006001,15778,15878,불일치,불일치
TX006002,15876,15876,일치,일치
TX006003,15974,15974,일치,일치
TX006004,16072,16072,일치,일치
TX006005,16170,16170,일치,일치
TX006006,16268,16268,일치,일치
TX006007,16366,16366,일치,일치
TX006008,16464,16464,일치,일치
TX006009,16562,16562,일치,일치
TX006010,16660,16660,일치,일치
TX006011,16758,16758,일치,일치
TX006012,16856,16856,일치,일치
TX006013,16954,16954,일치,일치
TX006014,17052,17052,일치,일치
TX006015,17150,17150,일치,일치
TX006016,17248,17248,일치,일치
TX006017,17346,17346,일치,일치
TX006018,17444,17444,일치,일치
TX006019,17542,17542,일치,일치
TX006020,0,0,일치,일치
TX007001,16758,16858,불일치,불일치
TX007002,16856,16856,일치,일치
TX007003,16954,16954,일치,일치
TX007004,17052,17052,일치,일치
TX007005,17150,17150,일치,일치
TX007006,17248,17248,일치,일치
TX007007,17346,17346,일치,일치
TX007008,17444,17444,일치,일치
TX007009,17542,17542,일치,일치
TX007010,17640,17640,일치,일치
TX007011,17738,17738,일치,일치
TX007012,17836,17836,일치,일치
TX007013,17934,17934,일치,일치
TX007014,18032,18032,일치,일치
TX007015,18130,18130,일치,일치
TX007016,18228,18228,일치,일치
TX007017,18326,18326,일치,일치
TX007018,18424,18424,일치,일치
TX007019,18522,18522,일치,일치
TX007020,0,0,일치,일치
TX008001,17738,17838,불일치,불일치
TX008002,17836,17836,일치,일치
TX008003,17934,17934,일치,일치
TX008004,18032,18032,일치,일치
TX008005,18130,18130,일치,일치
TX008006,18228,18228,일치,일치
TX008007,18326,18326,일치,일치
TX008008,18424,18424,일치,일치
TX008009,18522,18522,일치,일치
TX008010,18620,18620,일치,일치
TX008011,18718,18718,일치,일치
TX008012,18816,18816,일치,일치
TX008013,18914,18914,일치,일치
TX008014,19012,19012,일치,일치
TX008015,19110,19110,일치,일치
TX008016,19208,19208,일치,일치
TX008017,19306,19306,일치,일치
TX008018,19404,19404,일치,일치
TX008019,19502,19502,일치,일치
TX008020,0,0,일치,일치
TX009001,18718,18818,불일치,불일치
TX009002,18816,18816,일치,일치
TX009003,18914,18914,일치,일치
TX009004,19012,19012,일치,일치
TX009005,19110,19110,일치,일치
TX009006,19208,19208,일치,일치
TX009007,19306,19306,일치,일치
TX009008,19404,19404,일치,일치
TX009009,19502,19502,일치,일치
TX009010,19600,19600,일치,일치
TX009011,19698,19698,일치,일치
TX009012,19796,19796,일치,일치
TX009013,19894,19894,일치,일치
TX009014,19992,19992,일치,일치
TX009015,20090,20090,일치,일치
TX009016,20188,20188,일치,일치
TX009017,20286,20286,일치,일치
TX009018,20384,20384,일치,일치
TX009019,20482,20482,일치,일치
TX009020,0,0,일치,일치
TX010001,19698,19798,불일치,불일치
TX010002,19796,19796,일치,일치
