테이블,필드,자료형,기본키순번,외래키대상,설명
account,saknr,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
account,name,TEXT,,,schema.sql 및 SAP대응 문서 참조
account,statement,TEXT,,,schema.sql 및 SAP대응 문서 참조
acdoca,bukrs,TEXT,PK1,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
acdoca,belnr,TEXT,PK2,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
acdoca,gjahr,INTEGER,PK3,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
acdoca,docln,INTEGER,PK4,,schema.sql 및 SAP대응 문서 참조
acdoca,rldnr,TEXT,PK5,,schema.sql 및 SAP대응 문서 참조
acdoca,saknr,TEXT,,account.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
acdoca,hsl,INTEGER,,,금액은 원 단위 정수
acdoca,pspid,TEXT,,project.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
acdoca,posid,TEXT,,wbs.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
acdoca,partner_id,TEXT,,business_partner.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
allocation,person_group,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
allocation,posid,TEXT,PK2,wbs.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
allocation,headcount,INTEGER,,,schema.sql 및 SAP대응 문서 참조
allocation,person_days,INTEGER,,,schema.sql 및 SAP대응 문서 참조
allocation,rate,INTEGER,,,schema.sql 및 SAP대응 문서 참조
approval,approval_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
approval,kind,TEXT,,,schema.sql 및 SAP대응 문서 참조
approval,approved_by,TEXT,,person.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
approval,approved_date,TEXT,,,schema.sql 및 SAP대응 문서 참조
approval,source_id,TEXT,,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
baseline,version,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
baseline,pspid,TEXT,,project.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
baseline,bac,INTEGER,,,금액은 원 단위 정수
baseline,management_reserve,INTEGER,,,금액은 원 단위 정수
baseline,end_date,TEXT,,,schema.sql 및 SAP대응 문서 참조
baseline,approval_id,TEXT,,approval.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
baseline,status,TEXT,,,schema.sql 및 SAP대응 문서 참조
bkpf,bukrs,TEXT,PK1,company.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
bkpf,belnr,TEXT,PK2,,schema.sql 및 SAP대응 문서 참조
bkpf,gjahr,INTEGER,PK3,,schema.sql 및 SAP대응 문서 참조
bkpf,budat,TEXT,,,schema.sql 및 SAP대응 문서 참조
bkpf,description,TEXT,,,schema.sql 및 SAP대응 문서 참조
bkpf,source_id,TEXT,,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
budget_line,version,TEXT,PK1,baseline.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
budget_line,period,TEXT,PK2,,schema.sql 및 SAP대응 문서 참조
budget_line,amount,INTEGER,,,금액은 원 단위 정수
business_partner,partner_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
business_partner,name,TEXT,,,schema.sql 및 SAP대응 문서 참조
business_partner,category,TEXT,,,schema.sql 및 SAP대응 문서 참조
company,bukrs,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
company,name,TEXT,,,schema.sql 및 SAP대응 문서 참조
company,currency,TEXT,,,schema.sql 및 SAP대응 문서 참조
contract,contract_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
contract,partner_id,TEXT,,business_partner.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
contract,pspid,TEXT,,project.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
contract,amount,INTEGER,,,금액은 원 단위 정수
contract,scope,TEXT,,,schema.sql 및 SAP대응 문서 참조
contract,source_id,TEXT,,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
cost_center,kostl,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
cost_center,bukrs,TEXT,,company.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
cost_center,name,TEXT,,,schema.sql 및 SAP대응 문서 참조
document_link,doc_id,TEXT,PK1,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
document_link,object_type,TEXT,PK2,,schema.sql 및 SAP대응 문서 참조
document_link,object_id,TEXT,PK3,,schema.sql 및 SAP대응 문서 참조
exception_case,exception_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
exception_case,tx_id,TEXT,,payment_transaction.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
exception_case,owner_id,TEXT,,person.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
exception_case,due_date,TEXT,,,schema.sql 및 SAP대응 문서 참조
exception_case,status,TEXT,,,schema.sql 및 SAP대응 문서 참조
exception_case,reason,TEXT,,,schema.sql 및 SAP대응 문서 참조
invoice,invoice_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
invoice,acceptance_id,TEXT,,service_acceptance.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
invoice,amount,INTEGER,,,금액은 원 단위 정수
invoice,belnr,TEXT,,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
invoice,gjahr,INTEGER,,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
invoice,bukrs,TEXT,,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
merchant,merchant_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
merchant,partner_id,TEXT,,business_partner.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
merchant,name,TEXT,,,schema.sql 및 SAP대응 문서 참조
merchant,fee_bps,INTEGER,,,schema.sql 및 SAP대응 문서 참조
meta,stage,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
meta,as_of,TEXT,,,schema.sql 및 SAP대응 문서 참조
meta,label,TEXT,,,schema.sql 및 SAP대응 문서 참조
payment,payment_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
payment,invoice_id,TEXT,,invoice.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
payment,amount,INTEGER,,,금액은 원 단위 정수
payment,paid_date,TEXT,,,schema.sql 및 SAP대응 문서 참조
payment,belnr,TEXT,,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
payment,gjahr,INTEGER,,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
payment,bukrs,TEXT,,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
payment_transaction,tx_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
